TRAVEL_ID,VISIT_AREA_NM,GUNGU,ROAD_NM_ADDR,LOTNO_ADDR,LONGITUDE,LATITUDE,VISIT_AREA_TYPE_CD,VISIT_CHC_REASON_CD,REVISIT_YN,REVISIT_INTENTION,RCMDTN_INTENTION,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STATUS_ACCOMPANY,DGSTFN
37,진구곱창,서초구,서울 서초구 서초대로75길 37,서울 서초구 서초동 1308-23,127.024808,37.500753,음식점/카페,과거 경험이 좋아서,N,5.0,5.0,여,10~20,2,1,3,1,3,3,연인,5.0
38,인터컨티넨탈 서울코엑스,강남구,서울 강남구 봉은사로 524,서울 강남구 삼성동 159,127.057273,37.512764,문화시설,기타,Y,5.0,5.0,여,50대 이상,3,2,1,2,3,3,혼자,4.0
39,새마을전통시장,송파구,,서울 송파구 잠실동 278,127.086366,37.509208,쇼핑,지명도/명소/핫플레이스,N,2.0,4.0,남,30~40,1,1,1,1,1,3,가족,4.0
40,롯데백화점 청량리점,동대문구,서울 동대문구 왕산로 214,서울 동대문구 전농동 588-1,127.047684,37.58083,쇼핑,과거 경험이 좋아서,N,4.0,2.0,여,10~20,3,3,3,3,1,1,혼자,4.0
41,일상비일상의틈,강남구,서울 강남구 강남대로 426,서울 강남구 역삼동 815-5,127.026757,37.500582,테마시설,지명도/명소/핫플레이스,N,4.0,4.0,여,10~20,3,3,3,3,1,1,연인,4.0
42,올댓커피 더현대서울점,영등포구,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.9284,37.525799,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,1,1,3,3,1,3,혼자,5.0
43,더현대서울,영등포구,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.928446,37.525872,쇼핑,과거 경험이 좋아서,Y,5.0,5.0,여,10~20,1,1,3,2,3,2,연인,5.0
44,명동닭한마리 시조점,종로구,서울 종로구 종로40가길 10,서울 종로구 종로5가 280-4,127.006122,37.570363,음식점/카페,지인 추천이 있어서,N,5.0,5.0,남,10~20,1,1,2,1,1,3,연인,5.0
45,그랜드워커힐서울 컨벤션센터,광진구,서울 광진구 워커힐로 177,서울 광진구 광장동 22-1,127.110878,37.555106,문화시설,과거 경험이 좋아서,N,3.0,2.0,여,30~40,1,1,1,1,2,1,혼자,3.0
46,명동교자 본점,중구,서울 중구 명동10길 29,서울 중구 명동2가 25-36,126.985614,37.562555,음식점/카페,과거 경험이 좋아서,Y,5.0,5.0,여,10~20,2,1,1,3,3,2,혼자,4.0
47,LCDC서울,성동구,서울 성동구 연무장17길 10,서울 성동구 성수동2가 275-28,127.061546,37.541735,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,2,1,2,2,1,3,연인,5.0
48,연하동,마포구,서울 마포구 연남로 6,서울 마포구 연남동 373-15,126.923558,37.560512,음식점/카페,지명도/명소/핫플레이스,N,3.0,3.0,여,10~20,1,1,3,1,3,3,친구,3.0
49,환구단,중구,서울 중구 소공로 112,서울 중구 소공동 87-14,126.979739,37.564941,역사/유적지,기타,N,2.0,2.0,남,10~20,1,1,2,1,3,3,혼자,3.0
50,메종 키티버니포니 서울,마포구,서울 마포구 월드컵로5길 33-16,서울 마포구 합정동 389-29,126.910474,37.550962,쇼핑,지명도/명소/핫플레이스,N,3.0,3.0,남,10~20,3,1,1,1,1,3,혼자,4.0
51,도트블랭킷,종로구,서울 종로구 윤보선길 22,서울 종로구 안국동 83,126.984097,37.577026,음식점/카페,지인 추천이 있어서,N,4.0,4.0,여,10~20,3,1,3,3,1,1,혼자,4.0
39,잠실한강공원,송파구,서울 송파구 한가람로 65,서울 송파구 잠실동 1-1,127.082358,37.517799,자연,과거 경험이 좋아서,Y,5.0,5.0,남,30~40,1,1,1,1,1,3,가족,4.0
52,금융감독원,영등포구,서울 영등포구 여의대로 38,서울 영등포구 여의도동 27,126.921333,37.523092,자연,과거 경험이 좋아서,N,2.0,4.0,여,10~20,2,2,1,3,1,1,혼자,4.0
53,로파 서울,용산구,서울 용산구 한강대로7길 10-11,서울 용산구 한강로3가 40-645,126.962566,37.524771,쇼핑,지명도/명소/핫플레이스,N,2.0,2.0,여,30~40,2,1,1,1,1,3,연인,4.0
54,노원문화의거리,노원구,서울 노원구 노해로 476-2,서울 노원구 상계동 719-1,127.062866,37.654886,쇼핑,지인 추천이 있어서,Y,4.0,4.0,남,30~40,1,1,1,3,1,2,혼자,4.0
55,잠실종합운동장 실내체육관,송파구,서울 송파구 올림픽로 25,서울 송파구 잠실2동 10,127.075981,37.516178,레저/스포츠,기타,N,5.0,5.0,여,30~40,2,2,2,3,1,3,혼자,5.0
56,까르보마마,서초구,서울 서초구 강남대로16길 21,서울 서초구 양재동 313-5,127.040053,37.471167,음식점/카페,가기 편해서/교통이 좋아서,N,3.0,2.0,여,10~20,1,2,1,2,3,2,혼자,3.0
57,무교동유정낙지 본점,중구,서울 중구 세종대로21길 22,서울 중구 태평로1가 60-17,126.976044,37.567629,음식점/카페,지인 추천이 있어서,N,5.0,5.0,여,10~20,2,1,1,3,1,3,연인,5.0
58,국립현대미술관 서울관,종로구,서울 종로구 삼청로 30,서울 종로구 소격동 165-10,126.980098,37.578627,문화시설,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,3,3,3,3,1,1,혼자,5.0
59,매니베리머치,관악구,서울 관악구 관악로14길 105,서울 관악구 봉천동 1620-42,126.958255,37.477888,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,1,2,3,3,1,3,혼자,5.0
60,남산케이블카,중구,서울 중구 소파로 83,서울 중구 회현동1가 산 1-19,126.984026,37.556601,테마시설,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,3,1,3,3,1,1,가족,4.0
61,가배도 명동점,중구,서울 중구 퇴계로18길 10,서울 중구 남산동1가 5-2,126.985026,37.560419,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,1,1,3,1,1,3,혼자,4.0
62,서울식물원 식물문화센터,강서구,서울 강서구 마곡동로 161,서울 강서구 마곡동 727-256,126.835035,37.569419,문화시설,기타,N,2.0,2.0,남,30~40,1,3,1,3,3,1,가족,3.0
63,온더보더 광화문D타워점,종로구,서울 종로구 종로3길 17,서울 종로구 청진동 246,126.979104,37.570663,음식점/카페,지명도/명소/핫플레이스,N,2.0,3.0,남,30~40,1,3,2,3,1,1,가족,3.0
64,동작구민체육센터,동작구,서울 동작구 여의대방로16길 53,서울 동작구 신대방동 460-1,126.916767,37.494718,레저/스포츠,과거 경험이 좋아서,Y,3.0,3.0,여,30~40,1,2,1,2,1,1,가족,4.0
65,롯데마트 제타플렉스,송파구,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.096471,37.511701,쇼핑,가기 편해서/교통이 좋아서,N,5.0,5.0,여,10~20,1,2,3,1,1,3,친구,5.0
66,그랜드워커힐서울 더뷔페,광진구,서울 광진구 워커힐로 177,서울 광진구 광장동 22-1,127.110887,37.555151,음식점/카페,가기 편해서/교통이 좋아서,N,2.0,2.0,여,30~40,1,3,1,3,3,2,혼자,3.0
67,광화문광장,종로구,서울 종로구 세종대로 지하 172,서울 종로구 세종로 1-68,126.976916,37.572603,자연,과거 경험이 좋아서,N,4.0,4.0,여,10~20,3,1,3,3,3,3,혼자,4.0
68,AK& 홍대,마포구,서울 마포구 양화로 188,서울 마포구 동교동 192-45,126.926408,37.557809,쇼핑,지인 추천이 있어서,Y,5.0,5.0,여,10~20,2,3,3,3,3,3,혼자,5.0
69,신세계센트럴시티,서초구,서울 서초구 신반포로 176,서울 서초구 반포동 19-3,127.004131,37.504683,쇼핑,기타,Y,5.0,5.0,남,30~40,3,1,1,2,3,1,혼자,5.0
70,여의도한강공원,영등포구,,서울 영등포구 여의도동 85,126.935129,37.526389,자연,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,3,1,1,1,3,3,혼자,5.0
71,흥인지문.광장시장,종로구,서울 종로구 종로 288,서울 종로구 종로6가 69,127.009572,37.571142,쇼핑,과거 경험이 좋아서,Y,4.0,4.0,여,30~40,1,3,1,3,1,3,혼자,4.0
72,흥인지문공원,종로구,서울 종로구 종로 285,서울 종로구 종로6가 65-6,127.009214,37.571934,자연,기타,N,5.0,5.0,여,30~40,1,1,1,1,2,2,친구,5.0
73,양재동꽃시장,서초구,서울 서초구 강남대로 27,서울 서초구 양재동 232-4,127.039569,37.467131,쇼핑,과거 경험이 좋아서,N,3.0,3.0,여,10~20,2,1,1,2,1,3,친구,3.0
74,소바식당 성수점,성동구,서울 성동구 연무장7가길 6,서울 성동구 성수동2가 315-49,127.055004,37.543012,음식점/카페,지명도/명소/핫플레이스,N,2.0,3.0,남,10~20,3,1,3,3,3,3,혼자,4.0
75,더할랄가이즈 이태원점,용산구,서울 용산구 이태원로 187,서울 용산구 이태원동 123-32,126.994786,37.534709,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,3,1,3,1,1,3,연인,5.0
76,틴틴홀,종로구,서울 종로구 대학로10길 24,서울 종로구 동숭동 1-97,127.003555,37.581601,문화시설,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,3,2,2,2,2,2,혼자,5.0
77,이촌한강공원,용산구,서울 용산구 이촌로72길 62,서울 용산구 이촌동 302-17,126.970527,37.51724,자연,과거 경험이 좋아서,N,4.0,4.0,남,10~20,2,1,1,1,1,3,혼자,4.0
78,"국립공원공단 북한산생태탐방원, 광륜사",도봉구,서울 도봉구 도봉산길 86,서울 도봉구 도봉동 405,127.03472,37.687332,자연,과거 경험이 좋아서,N,2.0,2.0,남,30~40,1,3,1,2,1,1,가족,2.0
79,챔프커피 2작업실,용산구,서울 용산구 녹사평대로26가길 24,서울 용산구 이태원동 79-44,126.992813,37.532482,음식점/카페,지명도/명소/핫플레이스,N,3.0,3.0,남,10~20,3,1,3,1,1,3,혼자,4.0
80,반포한강공원 달빛광장,서초구,서울 서초구 신반포로11길 40,서울 서초구 반포동 115-5,126.997629,37.511355,자연,과거 경험이 좋아서,Y,4.0,4.0,여,10~20,2,1,2,3,3,3,혼자,4.0
81,용산역사박물관,용산구,서울 용산구 한강대로14길 35-29,서울 용산구 한강로3가 65-154,126.965802,37.525662,역사/유적지,지명도/명소/핫플레이스,N,5.0,5.0,남,50대 이상,1,2,1,1,3,1,친구,5.0
82,롯데월드,송파구,서울 송파구 올림픽로 240,서울 송파구 잠실동 40-1,127.09812,37.511131,테마시설,지명도/명소/핫플레이스,Y,4.0,4.0,여,30~40,3,1,3,3,3,3,가족,4.0
83,신세계백화점 강남점,서초구,서울 서초구 신반포로 176,서울 서초구 반포동 19-3,127.00432,37.505306,쇼핑,과거 경험이 좋아서,Y,3.0,3.0,여,10~20,1,3,1,3,3,3,연인,4.0
70,또보겠지떡볶이집 호호시스터점,마포구,서울 마포구 양화로6길 45,서울 마포구 서교동 396-32,126.916829,37.548952,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,3,1,1,1,3,3,혼자,5.0
84,소극장혜화당,종로구,서울 종로구 대학로12길 63,서울 종로구 동숭동 1-89,127.004026,37.581237,문화시설,지인 추천이 있어서,N,5.0,5.0,남,30~40,3,1,1,3,3,1,혼자,5.0
85,하이커그라운드,중구,서울 중구 청계천로 40,서울 중구 다동 10,126.981418,37.568575,문화시설,과거 경험이 좋아서,N,3.0,3.0,여,30~40,1,1,1,1,3,3,혼자,4.0
86,미도인 파이낸스여의도점,영등포구,서울 영등포구 국제금융로2길 32,서울 영등포구 여의도동 23-8,126.924138,37.523884,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,2,1,3,3,1,3,가족,5.0
87,서울공예박물관,종로구,서울 종로구 율곡로3길 4,서울 종로구 안국동 175-112,126.983291,37.576637,역사/유적지,과거 경험이 좋아서,N,4.0,4.0,여,30~40,2,1,1,2,3,2,연인,4.0
88,도산맘마,강남구,서울 강남구 압구정로42길 45,서울 강남구 신사동 645-26,127.034644,37.525914,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,3,1,3,3,1,3,혼자,5.0
89,흑석시장,동작구,서울 동작구 서달로12길 19,서울 동작구 흑석동 54-368,126.962894,37.506906,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,50대 이상,1,3,1,1,3,1,혼자,5.0
73,힐튼가든인 서울강남점,서초구,서울 서초구 강남대로 253,서울 서초구 서초동 1362-26,127.032788,37.485933,레저/스포츠,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,2,1,1,2,1,3,친구,5.0
90,콤콤오락실,종로구,서울 종로구 수표로28길 23-6,서울 종로구 익선동 171-1,126.989982,37.57307,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,여,10~20,1,1,1,1,1,1,혼자,5.0
91,다만프레르 SFC점,중구,서울 중구 세종대로 136,서울 중구 무교동 97,126.978285,37.568404,음식점/카페,지명도/명소/핫플레이스,N,3.0,4.0,여,30~40,1,1,2,1,1,3,연인,4.0
34,동대문 문구완구시장,종로구,서울 종로구 종로52길 36,서울 종로구 창신동 390-29,127.014448,37.571231,쇼핑,지명도/명소/핫플레이스,N,5.0,5.0,남,10~20,3,1,3,3,1,3,혼자,5.0
92,신세계백화점 강남점,서초구,서울 서초구 신반포로 176,서울 서초구 반포동 19-3,127.00432,37.505306,쇼핑,가기 편해서/교통이 좋아서,Y,4.0,4.0,여,30~40,1,1,1,1,1,3,가족,4.0
93,하남돼지집 대학로점,종로구,서울 종로구 대학로8가길 52,서울 종로구 동숭동 1-48,127.00264,37.582995,음식점/카페,지인 추천이 있어서,N,3.0,4.0,남,10~20,3,1,1,1,1,1,연인,4.0
94,경복궁,종로구,서울 종로구 사직로 161,서울 종로구 세종로 1-91,126.976897,37.577609,역사/유적지,기타,Y,5.0,5.0,여,30~40,2,1,2,1,1,3,연인,5.0
95,종로빈대떡 광화문점,종로구,서울 종로구 세종대로23길 21,서울 종로구 당주동 15-7,126.975287,37.571543,음식점/카페,지명도/명소/핫플레이스,N,4.0,4.0,남,10~20,2,1,1,1,3,1,혼자,3.0
96,서울어린이대공원 동물원,광진구,서울 광진구 천호대로 660,서울 광진구 능동 18,127.082319,37.548239,테마시설,기타,N,5.0,5.0,남,10~20,3,1,1,1,3,3,혼자,5.0
97,가락동농수산물도매시장 수산시장,송파구,서울 송파구 양재대로 932,서울 송파구 가락동 600,127.108859,37.492806,쇼핑,가성비가 좋아서,N,5.0,5.0,여,30~40,1,1,3,3,1,3,친구,5.0
98,돈주는남자 본점,마포구,서울 마포구 잔다리로6길 34-9,서울 마포구 서교동 366-2,126.921113,37.551935,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,50대 이상,1,1,1,3,3,3,혼자,5.0
99,모스버거 센트럴시티점,서초구,서울 서초구 신반포로 176,서울 서초구 반포동 19-3,127.004212,37.504828,음식점/카페,과거 경험이 좋아서,N,5.0,5.0,남,30~40,3,2,1,2,3,3,연인,5.0
100,숭례문,중구,서울 중구 세종대로 40,서울 중구 남대문로4가 29,126.975313,37.560003,역사/유적지,지명도/명소/핫플레이스,N,4.0,4.0,여,50대 이상,3,2,3,2,1,3,혼자,4.0
101,경복궁,종로구,서울 종로구 사직로 161,서울 종로구 세종로 1-91,126.976897,37.577609,역사/유적지,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,1,2,2,1,3,1,혼자,5.0
102,석촌호수 동호,송파구,서울 송파구 송파나루길 166,서울 송파구 신천동 32,127.1059,37.511621,자연,과거 경험이 좋아서,Y,5.0,5.0,남,30~40,1,1,3,3,3,3,가족,5.0
103,등촌샤브칼국수 안국역점,종로구,서울 종로구 북촌로2길 7,서울 종로구 재동 84-19,126.986171,37.577945,음식점/카페,지명도/명소/핫플레이스,N,4.0,4.0,여,10~20,1,1,2,3,3,1,연인,4.0
104,엔터식스 왕십리역점,성동구,서울 성동구 왕십리광장로 17,서울 성동구 행당동 168-151,127.038374,37.562007,쇼핑,지인 추천이 있어서,N,5.0,5.0,남,10~20,1,1,1,1,3,2,연인,5.0
105,우장산공원산책길,강서구,,서울 강서구 화곡동,126.843546,37.552726,자연,가기 편해서/교통이 좋아서,Y,5.0,5.0,여,30~40,1,1,3,1,1,1,혼자,5.0
106,청계천,종로구,,서울 종로구 서린동 148,126.978647,37.569147,자연,과거 경험이 좋아서,Y,4.0,4.0,여,10~20,1,1,3,3,1,1,혼자,4.0
107,이태원거리,용산구,서울 용산구 이태원로 171-1,서울 용산구 이태원동 119-23,126.995809,37.534561,쇼핑,지명도/명소/핫플레이스,N,3.0,4.0,여,10~20,2,1,2,3,3,3,친구,4.0
81,창덕궁,종로구,서울 종로구 율곡로 99,서울 종로구 와룡동 2-71,126.991,37.579656,역사/유적지,지명도/명소/핫플레이스,N,5.0,5.0,남,50대 이상,1,2,1,1,3,1,친구,5.0
99,펀시티,광진구,서울 광진구 동일로22길 81,서울 광진구 화양동 9-93,127.068792,37.541429,테마시설,과거 경험이 좋아서,Y,5.0,5.0,남,30~40,3,2,1,2,3,3,연인,5.0
3,번패티번,영등포구,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.928446,37.525822,음식점/카페,과거 경험이 좋아서,N,5.0,5.0,여,30~40,2,1,1,1,3,3,연인,5.0
13,부기우기,용산구,서울 용산구 회나무로 21,서울 용산구 이태원동 278-8,126.989006,37.53921,음식점/카페,지인 추천이 있어서,N,4.0,4.0,여,30~40,3,3,2,1,3,1,혼자,4.0
108,커피나인,용산구,서울 용산구 녹사평대로 208-1,서울 용산구 이태원동 532,126.987237,37.536327,음식점/카페,지명도/명소/핫플레이스,N,4.0,4.0,남,30~40,1,3,1,1,1,1,혼자,4.0
109,토속촌삼계탕,종로구,서울 종로구 자하문로5길 5,서울 종로구 체부동 85-1,126.971494,37.577723,음식점/카페,과거 경험이 좋아서,Y,4.0,4.0,남,30~40,1,1,1,3,1,1,친구,4.0
110,AK& 홍대,마포구,서울 마포구 양화로 188,서울 마포구 동교동 192-45,126.926408,37.557809,쇼핑,과거 경험이 좋아서,N,5.0,5.0,남,10~20,2,1,1,3,1,3,친구,5.0
111,현대카드 쿠킹라이브러리,강남구,서울 강남구 압구정로46길 46,서울 강남구 신사동 645-22,127.035654,37.525647,문화시설,과거 경험이 좋아서,Y,5.0,4.0,여,10~20,3,2,3,1,1,3,혼자,4.0
112,뚜레쥬르 제일제당센터점,중구,서울 중구 동호로 330,서울 중구 쌍림동 292,127.003022,37.563844,음식점/카페,과거 경험이 좋아서,N,5.0,5.0,여,30~40,2,1,2,3,1,3,연인,5.0
113,프레퍼스다이어트푸드 교대점,서초구,서울 서초구 서초중앙로22길 18,서울 서초구 서초동 1658-12,127.015021,37.493107,음식점/카페,지명도/명소/핫플레이스,N,5.0,4.0,여,10~20,2,1,1,3,3,3,혼자,4.0
114,경기대학교 서울캠퍼스,서대문구,서울 서대문구 경기대로9길 24,서울 서대문구 충정로2가 67-13,126.962123,37.565196,자연,기타,N,4.0,3.0,남,10~20,1,1,1,1,1,1,혼자,4.0
115,인터컨티넨탈서울코엑스 브래서리,강남구,서울 강남구 봉은사로 524,서울 강남구 삼성동 159,127.057109,37.512942,음식점/카페,지명도/명소/핫플레이스,N,5.0,5.0,여,30~40,3,3,1,3,3,1,연인,5.0
